site,use,veg,trap,trap_id,otu,n
EMONI,high,low,9,EMONI-9,acari,1
EMONI,high,low,10,EMONI-10,diptera,4
EMONI,high,low,10,EMONI-10,hymenoptera,9
EMONI,high,low,10,EMONI-10,acari,1
EMONI,high,low,10,EMONI-10,araneae,1
EMONI,high,low,11,EMONI-11,coleoptera,2
EMONI,high,low,11,EMONI-11,diptera,12
EMONI,high,low,11,EMONI-11,hemiptera,1
EMONI,high,low,11,EMONI-11,hymenoptera,5
EMONI,high,low,11,EMONI-11,embioptera,1
EMONI,high,low,11,EMONI-11,araneae,1
EMONI,high,low,12,EMONI-12,coleoptera,1
EMONI,high,low,12,EMONI-12,diptera,1
EMONI,high,low,12,EMONI-12,hymenoptera,6
EMONI,high,low,12,EMONI-12,acari,1
MALYKO,low,low,1,MALYKO-1,coleoptera,15
MALYKO,low,low,1,MALYKO-1,diptera,15
MALYKO,low,low,1,MALYKO-1,hymenoptera,14
MALYKO,low,low,1,MALYKO-1,embioptera,1
MALYKO,low,low,2,MALYKO-2,coleoptera,9
MALYKO,low,low,2,MALYKO-2,diptera,18
MALYKO,low,low,2,MALYKO-2,hymenoptera,11
MALYKO,low,low,2,MALYKO-2,collembola,3
MALYKO,low,low,2,MALYKO-2,thysanura,1
MALYKO,low,low,2,MALYKO-2,acari,1
MALYKO,low,low,3,MALYKO-3,coleoptera,13
MALYKO,low,low,3,MALYKO-3,diptera,18
MALYKO,low,low,3,MALYKO-3,hymenoptera,11
MALYKO,low,low,3,MALYKO-3,psocoptera,2
MALYKO,low,low,4,MALYKO-4,coleoptera,30
MALYKO,low,low,4,MALYKO-4,diptera,11
MALYKO,low,low,4,MALYKO-4,hemiptera,1
MALYKO,low,low,4,MALYKO-4,hymenoptera,4
MALYKO,low,low,4,MALYKO-4,embioptera,1
MALYKO,low,low,4,MALYKO-4,acari,1
MALYKO,low,low,4,MALYKO-4,araneae,2
MALYKO,low,low,5,MALYKO-5,coleoptera,10
MALYKO,low,low,5,MALYKO-5,diptera,84
MALYKO,low,low,5,MALYKO-5,hemiptera,1
MALYKO,low,low,5,MALYKO-5,hymenoptera,11
MALYKO,low,low,5,MALYKO-5,isopoda,1
MALYKO,low,low,6,MALYKO-6,coleoptera,12
MALYKO,low,low,6,MALYKO-6,diptera,35
MALYKO,low,low,6,MALYKO-6,hemiptera,1
MALYKO,low,low,6,MALYKO-6,hymenoptera,9
MALYKO,low,low,6,MALYKO-6,psocoptera,1
MALYKO,low,low,6,MALYKO-6,acari,1
MALYKO,low,low,7,MALYKO-7,coleoptera,14
MALYKO,low,low,7,MALYKO-7,diptera,18
MALYKO,low,low,7,MALYKO-7,hemiptera,3
MALYKO,low,low,7,MALYKO-7,hymenoptera,20
MALYKO,low,low,7,MALYKO-7,embioptera,1
MALYKO,low,low,7,MALYKO-7,araneae,1
MALYKO,low,low,9,MALYKO-9,coleoptera,15
MALYKO,low,low,9,MALYKO-9,diptera,42
MALYKO,low,low,9,MALYKO-9,hemiptera,33
MALYKO,low,low,9,MALYKO-9,hymenoptera,31
MALYKO,low,low,9,MALYKO-9,lepidoptera,1
MALYKO,low,low,9,MALYKO-9,acari,1
MALYKO,low,low,9,MALYKO-9,araneae,1
MALYKO,low,low,9,MALYKO-9,isopoda,1
MALYKO,low,low,10,MALYKO-10,coleoptera,21
MALYKO,low,low,10,MALYKO-10,diptera,11
MALYKO,low,low,10,MALYKO-10,hemiptera,3
MALYKO,low,low,10,MALYKO-10,hymenoptera,7
MALYKO,low,low,10,MALYKO-10,acari,1
MALYKO,low,low,11,MALYKO-11,coleoptera,13
MALYKO,low,low,11,MALYKO-11,diptera,27
MALYKO,low,low,11,MALYKO-11,hemiptera,7
MALYKO,low,low,11,MALYKO-11,hymenoptera,12
MALYKO,low,low,11,MALYKO-11,acari,1
MALYKO,low,low,12,MALYKO-12,coleoptera,12
MALYKO,low,low,12,MALYKO-12,diptera,21
MALYKO,low,low,12,MALYKO-12,hemiptera,9
MALYKO,low,low,12,MALYKO-12,hymenoptera,8
MALYKO,low,low,12,MALYKO-12,psocoptera,7
MALYKO,low,low,12,MALYKO-12,acari,1
NALYKO,low,low,1,NALYKO-1,coleoptera,1
NALYKO,low,low,1,NALYKO-1,diptera,50
NALYKO,low,low,1,NALYKO-1,hymenoptera,1
NALYKO,low,low,1,NALYKO-1,araneae,2
NALYKO,low,low,1,NALYKO-1,chilopoda,1
NALYKO,low,low,2,NALYKO-2,coleoptera,5
NALYKO,low,low,2,NALYKO-2,diptera,16
NALYKO,low,low,2,NALYKO-2,hymenoptera,3
NALYKO,low,low,3,NALYKO-3,coleoptera,11
NALYKO,low,low,3,NALYKO-3,diptera,54
NALYKO,low,low,3,NALYKO-3,hymenoptera,5
NALYKO,low,low,4,NALYKO-4,coleoptera,2
NALYKO,low,low,4,NALYKO-4,diptera,7
NALYKO,low,low,4,NALYKO-4,hemiptera,2
NALYKO,low,low,4,NALYKO-4,hymenoptera,2
NALYKO,low,low,4,NALYKO-4,acari,2
NALYKO,low,low,5,NALYKO-5,coleoptera,10
NALYKO,low,low,5,NALYKO-5,diptera,9
NALYKO,low,low,5,NALYKO-5,hemiptera,1
NALYKO,low,low,5,NALYKO-5,hymenoptera,13
NALYKO,low,low,6,NALYKO-6,coleoptera,3
NALYKO,low,low,6,NALYKO-6,diptera,6
NALYKO,low,low,6,NALYKO-6,hymenoptera,2
NALYKO,low,low,7,NALYKO-7,coleoptera,9
NALYKO,low,low,7,NALYKO-7,diptera,24
NALYKO,low,low,7,NALYKO-7,hemiptera,3
NALYKO,low,low,7,NALYKO-7,hymenoptera,17
NALYKO,low,low,7,NALYKO-7,thysanura,1
NALYKO,low,low,8,NALYKO-8,coleoptera,4
NALYKO,low,low,8,NALYKO-8,diptera,18
NALYKO,low,low,8,NALYKO-8,hymenoptera,7
NALYKO,low,low,8,NALYKO-8,thysanura,1
NALYKO,low,low,8,NALYKO-8,acari,1
NALYKO,low,low,9,NALYKO-9,coleoptera,1
NALYKO,low,low,9,NALYKO-9,diptera,6
NALYKO,low,low,9,NALYKO-9,hemiptera,2
NALYKO,low,low,9,NALYKO-9,hymenoptera,11
NALYKO,low,low,10,NALYKO-10,coleoptera,7
NALYKO,low,low,10,NALYKO-10,diptera,12
NALYKO,low,low,10,NALYKO-10,hemiptera,1
NALYKO,low,low,10,NALYKO-10,hymenoptera,6
NALYKO,low,low,11,NALYKO-11,diptera,12
NALYKO,low,low,11,NALYKO-11,hemiptera,1
NALYKO,low,low,11,NALYKO-11,hymenoptera,9
NALYKO,low,low,12,NALYKO-12,coleoptera,22
NALYKO,low,low,12,NALYKO-12,diptera,23
NALYKO,low,low,12,NALYKO-12,hymenoptera,35
NALYKO,low,low,12,NALYKO-12,coleoptera_larvae,1
RACHI,low,high,1,RACHI-1,coleoptera,13
RACHI,low,high,1,RACHI-1,hemiptera,1
RACHI,low,high,1,RACHI-1,hymenoptera,7
RACHI,low,high,1,RACHI-1,lepidoptera,1
RACHI,low,high,1,RACHI-1,collembola,1
RACHI,low,high,1,RACHI-1,isoptera,1
RACHI,low,high,1,RACHI-1,acari,1
RACHI,low,high,2,RACHI-2,coleoptera,1
RACHI,low,high,2,RACHI-2,diptera,3
RACHI,low,high,2,RACHI-2,hemiptera,11
RACHI,low,high,2,RACHI-2,hymenoptera,12
RACHI,low,high,2,RACHI-2,orthoptera,1
RACHI,low,high,2,RACHI-2,acari,1
RACHI,low,high,3,RACHI-3,coleoptera,1
RACHI,low,high,3,RACHI-3,diptera,4
RACHI,low,high,3,RACHI-3,hymenoptera,11
RACHI,low,high,3,RACHI-3,acari,1
RACHI,low,high,4,RACHI-4,diptera,4
RACHI,low,high,4,RACHI-4,hemiptera,3
RACHI,low,high,4,RACHI-4,acari,1
RACHI,low,high,5,RACHI-5,diptera,7
RACHI,low,high,5,RACHI-5,hemiptera,4
RACHI,low,high,5,RACHI-5,hymenoptera,19
RACHI,low,high,5,RACHI-5,araneae,2
RACHI,low,high,6,RACHI-6,coleoptera,1
RACHI,low,high,6,RACHI-6,diptera,4
RACHI,low,high,6,RACHI-6,hymenoptera,5
RACHI,low,high,6,RACHI-6,orthoptera,1
RACHI,low,high,6,RACHI-6,araneae,1
RACHI,low,high,7,RACHI-7,coleoptera,2
RACHI,low,high,7,RACHI-7,diptera,5
RACHI,low,high,7,RACHI-7,hemiptera,1
RACHI,low,high,7,RACHI-7,hymenoptera,1
RACHI,low,high,7,RACHI-7,thysanura,2
RACHI,low,high,7,RACHI-7,araneae,1
RACHI,low,high,8,RACHI-8,coleoptera,1
RACHI,low,high,8,RACHI-8,diptera,2
RACHI,low,high,8,RACHI-8,hemiptera,1
RACHI,low,high,8,RACHI-8,hymenoptera,6
RACHI,low,high,8,RACHI-8,lepidoptera,1
RACHI,low,high,8,RACHI-8,araneae,2
RACHI,low,high,9,RACHI-9,coleoptera,2
RACHI,low,high,9,RACHI-9,diptera,6
RACHI,low,high,9,RACHI-9,hemiptera,1
RACHI,low,high,9,RACHI-9,hymenoptera,3
RACHI,low,high,9,RACHI-9,thysanura,1
RACHI,low,high,9,RACHI-9,lepidoptera_larvae,1
RACHI,low,high,9,RACHI-9,araneae,1
RACHI,low,high,10,RACHI-10,coleoptera,5
RACHI,low,high,10,RACHI-10,diptera,4
RACHI,low,high,10,RACHI-10,hemiptera,2
RACHI,low,high,10,RACHI-10,hymenoptera,19
RACHI,low,high,10,RACHI-10,thysanura,1
RACHI,low,high,10,RACHI-10,acari,3
RACHI,low,high,10,RACHI-10,araneae,2
RACHI,low,high,11,RACHI-11,coleoptera,2
RACHI,low,high,11,RACHI-11,diptera,4
RACHI,low,high,11,RACHI-11,hymenoptera,11
RACHI,low,high,11,RACHI-11,orthoptera,1
RACHI,low,high,11,RACHI-11,araneae,4
RACHI,low,high,12,RACHI-12,coleoptera,1
RACHI,low,high,12,RACHI-12,hemiptera,1
RACHI,low,high,12,RACHI-12,hymenoptera,4
RACHI,low,high,12,RACHI-12,lepidoptera,1
SAGRI,high,high,1,SAGRI-1,coleoptera,2
SAGRI,high,high,1,SAGRI-1,diptera,1
SAGRI,high,high,1,SAGRI-1,hemiptera,1
SAGRI,high,high,1,SAGRI-1,hymenoptera,8
SAGRI,high,high,1,SAGRI-1,orthoptera,1
SAGRI,high,high,1,SAGRI-1,thysanura,1
SAGRI,high,high,1,SAGRI-1,acari,2
SAGRI,high,high,1,SAGRI-1,pseudoscorpiones,1
SAGRI,high,high,1,SAGRI-1,lizard,1
SAGRI,high,high,2,SAGRI-2,coleoptera,2
SAGRI,high,high,2,SAGRI-2,diptera,3
SAGRI,high,high,2,SAGRI-2,hemiptera,2
SAGRI,high,high,2,SAGRI-2,hymenoptera,16
SAGRI,high,high,2,SAGRI-2,acari,9
SAGRI,high,high,3,SAGRI-3,coleoptera,3
SAGRI,high,high,3,SAGRI-3,hemiptera,1
SAGRI,high,high,3,SAGRI-3,hymenoptera,36
SAGRI,high,high,3,SAGRI-3,acari,1
SAGRI,high,high,3,SAGRI-3,araneae,2
SAGRI,high,high,3,SAGRI-3,isopoda,1
SAGRI,high,high,3,SAGRI-3,opilliones,1
SAGRI,high,high,4,SAGRI-4,coleoptera,5
SAGRI,high,high,4,SAGRI-4,diptera,2
SAGRI,high,high,4,SAGRI-4,hemiptera,1
SAGRI,high,high,4,SAGRI-4,hymenoptera,3
SAGRI,high,high,4,SAGRI-4,thysanura,1
SAGRI,high,high,4,SAGRI-4,acari,7
SAGRI,high,high,4,SAGRI-4,araneae,1
SAGRI,high,high,5,SAGRI-5,coleoptera,4
SAGRI,high,high,5,SAGRI-5,diptera,2
SAGRI,high,high,5,SAGRI-5,hymenoptera,23
SAGRI,high,high,5,SAGRI-5,thysanura,5
SAGRI,high,high,5,SAGRI-5,coleoptera_larvae,1
SAGRI,high,high,5,SAGRI-5,acari,6
SAGRI,high,high,5,SAGRI-5,araneae,2
SAGRI,high,high,5,SAGRI-5,isopoda,2
SAGRI,high,high,6,SAGRI-6,coleoptera,3
SAGRI,high,high,6,SAGRI-6,diptera,16
SAGRI,high,high,6,SAGRI-6,hymenoptera,30
SAGRI,high,high,6,SAGRI-6,orthoptera,1
SAGRI,high,high,6,SAGRI-6,acari,3
SAGRI,high,high,6,SAGRI-6,araneae,4
SAGRI,high,high,6,SAGRI-6,isopoda,1
SAGRI,high,high,7,SAGRI-7,diptera,5
SAGRI,high,high,7,SAGRI-7,hemiptera,1
SAGRI,high,high,7,SAGRI-7,hymenoptera,1
SAGRI,high,high,7,SAGRI-7,orthoptera,1
SAGRI,high,high,7,SAGRI-7,thysanura,1
SAGRI,high,high,7,SAGRI-7,araneae,1
SAGRI,high,high,7,SAGRI-7,opilliones,2
SAGRI,high,high,8,SAGRI-8,coleoptera,4
SAGRI,high,high,8,SAGRI-8,diptera,6
SAGRI,high,high,8,SAGRI-8,hemiptera,5
SAGRI,high,high,8,SAGRI-8,hymenoptera,23
SAGRI,high,high,8,SAGRI-8,acari,1
SAGRI,high,high,8,SAGRI-8,araneae,2
SAGRI,high,high,8,SAGRI-8,isopoda,2
SAGRI,high,high,9,SAGRI-9,coleoptera,6
SAGRI,high,high,9,SAGRI-9,diptera,3
SAGRI,high,high,9,SAGRI-9,hemiptera,3
SAGRI,high,high,9,SAGRI-9,hymenoptera,31
SAGRI,high,high,9,SAGRI-9,acari,1
SAGRI,high,high,9,SAGRI-9,araneae,2
SAGRI,high,high,10,SAGRI-10,coleoptera,4
SAGRI,high,high,10,SAGRI-10,hemiptera,6
SAGRI,high,high,10,SAGRI-10,hymenoptera,4
SAGRI,high,high,10,SAGRI-10,acari,2
SAGRI,high,high,10,SAGRI-10,araneae,3
SAGRI,high,high,11,SAGRI-11,coleoptera,1
SAGRI,high,high,11,SAGRI-11,diptera,5
SAGRI,high,high,11,SAGRI-11,hymenoptera,7
SAGRI,high,high,11,SAGRI-11,acari,1
SAGRI,high,high,11,SAGRI-11,araneae,1
SAGRI,high,high,12,SAGRI-12,coleoptera,2
SAGRI,high,high,12,SAGRI-12,diptera,4
SAGRI,high,high,12,SAGRI-12,hemiptera,1
SAGRI,high,high,12,SAGRI-12,hymenoptera,68
SAGRI,high,high,12,SAGRI-12,acari,1
SMONI,high,low,1,SMONI-1,coleoptera,1
SMONI,high,low,1,SMONI-1,diptera,38
SMONI,high,low,1,SMONI-1,hemiptera,3
SMONI,high,low,1,SMONI-1,hymenoptera,3
SMONI,high,low,1,SMONI-1,acari,1
SMONI,high,low,1,SMONI-1,araneae,3
SMONI,high,low,2,SMONI-2,coleoptera,8
SMONI,high,low,2,SMONI-2,diptera,31
SMONI,high,low,2,SMONI-2,hemiptera,1
SMONI,high,low,2,SMONI-2,hymenoptera,3
SMONI,high,low,2,SMONI-2,acari,11
SMONI,high,low,2,SMONI-2,araneae,1
SMONI,high,low,3,SMONI-3,coleoptera,6
SMONI,high,low,3,SMONI-3,diptera,49
SMONI,high,low,3,SMONI-3,hemiptera,1
SMONI,high,low,3,SMONI-3,hymenoptera,2
SMONI,high,low,3,SMONI-3,araneae,3
SMONI,high,low,4,SMONI-4,diptera,42
SMONI,high,low,4,SMONI-4,hemiptera,3
SMONI,high,low,4,SMONI-4,hymenoptera,8
SMONI,high,low,4,SMONI-4,acari,3
SMONI,high,low,4,SMONI-4,raphidioptera,1
SMONI,high,low,5,SMONI-5,coleoptera,3
SMONI,high,low,5,SMONI-5,diptera,24
SMONI,high,low,5,SMONI-5,hemiptera,1
SMONI,high,low,5,SMONI-5,hymenoptera,10
SMONI,high,low,5,SMONI-5,acari,5
SMONI,high,low,5,SMONI-5,araneae,1
SMONI,high,low,6,SMONI-6,coleoptera,3
SMONI,high,low,6,SMONI-6,diptera,35
SMONI,high,low,6,SMONI-6,hemiptera,2
SMONI,high,low,6,SMONI-6,hymenoptera,12
SMONI,high,low,6,SMONI-6,acari,3
SMONI,high,low,6,SMONI-6,lizard,1
SMONI,high,low,6,SMONI-6,raphidioptera,1
SMONI,high,low,7,SMONI-7,coleoptera,6
SMONI,high,low,7,SMONI-7,diptera,46
SMONI,high,low,7,SMONI-7,hemiptera,9
SMONI,high,low,7,SMONI-7,hymenoptera,4
SMONI,high,low,7,SMONI-7,collembola,3
SMONI,high,low,7,SMONI-7,thysanura,1
SMONI,high,low,7,SMONI-7,acari,3
SMONI,high,low,7,SMONI-7,chilopoda,2
SMONI,high,low,8,SMONI-8,coleoptera,1
SMONI,high,low,8,SMONI-8,diptera,20
SMONI,high,low,8,SMONI-8,hemiptera,6
SMONI,high,low,8,SMONI-8,hymenoptera,6
SMONI,high,low,8,SMONI-8,collembola,2
SMONI,high,low,8,SMONI-8,neuroptera,1
SMONI,high,low,8,SMONI-8,acari,1
SMONI,high,low,8,SMONI-8,chilopoda,1
SMONI,high,low,8,SMONI-8,lizard,1
SMONI,high,low,8,SMONI-8,raphidioptera,13
SMONI,high,low,9,SMONI-9,coleoptera,1
SMONI,high,low,9,SMONI-9,diptera,35
SMONI,high,low,9,SMONI-9,hemiptera,14
SMONI,high,low,9,SMONI-9,hymenoptera,16
SMONI,high,low,9,SMONI-9,collembola,3
SMONI,high,low,9,SMONI-9,lepidoptera_larvae,1
SMONI,high,low,9,SMONI-9,acari,3
SMONI,high,low,9,SMONI-9,chilopoda,2
SMONI,high,low,9,SMONI-9,opilliones,1
SMONI,high,low,9,SMONI-9,raphidioptera,1
SMONI,high,low,10,SMONI-10,coleoptera,3
SMONI,high,low,10,SMONI-10,diptera,70
SMONI,high,low,10,SMONI-10,hemiptera,7
SMONI,high,low,10,SMONI-10,hymenoptera,7
SMONI,high,low,10,SMONI-10,acari,7
SMONI,high,low,11,SMONI-11,coleoptera,7
SMONI,high,low,11,SMONI-11,diptera,21
SMONI,high,low,11,SMONI-11,hemiptera,2
SMONI,high,low,11,SMONI-11,hymenoptera,11
SMONI,high,low,11,SMONI-11,acari,7
SMONI,high,low,12,SMONI-12,coleoptera,2
SMONI,high,low,12,SMONI-12,diptera,25
SMONI,high,low,12,SMONI-12,hemiptera,6
SMONI,high,low,12,SMONI-12,hymenoptera,5
SMONI,high,low,12,SMONI-12,acari,3
SMONI,high,low,12,SMONI-12,raphidioptera,2
VIGLA,low,high,1,VIGLA-1,coleoptera,2
VIGLA,low,high,1,VIGLA-1,diptera,16
VIGLA,low,high,1,VIGLA-1,hemiptera,4
VIGLA,low,high,1,VIGLA-1,hymenoptera,18
VIGLA,low,high,1,VIGLA-1,embioptera,2
VIGLA,low,high,2,VIGLA-2,coleoptera,5
VIGLA,low,high,2,VIGLA-2,diptera,16
VIGLA,low,high,2,VIGLA-2,hemiptera,24
VIGLA,low,high,2,VIGLA-2,hymenoptera,8
VIGLA,low,high,2,VIGLA-2,embioptera,1
VIGLA,low,high,2,VIGLA-2,coleoptera_larvae,1
VIGLA,low,high,2,VIGLA-2,acari,1
VIGLA,low,high,2,VIGLA-2,pseudoscorpiones,1
VIGLA,low,high,3,VIGLA-3,coleoptera,2
VIGLA,low,high,3,VIGLA-3,diptera,22
VIGLA,low,high,3,VIGLA-3,hemiptera,2
VIGLA,low,high,3,VIGLA-3,hymenoptera,12
VIGLA,low,high,3,VIGLA-3,embioptera,4
VIGLA,low,high,3,VIGLA-3,coleoptera_larvae,2
VIGLA,low,high,3,VIGLA-3,acari,2
VIGLA,low,high,3,VIGLA-3,isopoda,1
VIGLA,low,high,3,VIGLA-3,pseudoscorpiones,1
VIGLA,low,high,4,VIGLA-4,coleoptera,2
VIGLA,low,high,4,VIGLA-4,diptera,13
VIGLA,low,high,4,VIGLA-4,hemiptera,1
VIGLA,low,high,4,VIGLA-4,hymenoptera,26
VIGLA,low,high,4,VIGLA-4,orthoptera,1
VIGLA,low,high,4,VIGLA-4,embioptera,6
VIGLA,low,high,4,VIGLA-4,coleoptera_larvae,1
VIGLA,low,high,5,VIGLA-5,coleoptera,5
VIGLA,low,high,5,VIGLA-5,diptera,13
VIGLA,low,high,5,VIGLA-5,hymenoptera,4
VIGLA,low,high,5,VIGLA-5,embioptera,2
VIGLA,low,high,5,VIGLA-5,coleoptera_larvae,2
VIGLA,low,high,5,VIGLA-5,acari,1
VIGLA,low,high,6,VIGLA-6,coleoptera,3
VIGLA,low,high,6,VIGLA-6,diptera,8
VIGLA,low,high,6,VIGLA-6,hemiptera,5
VIGLA,low,high,6,VIGLA-6,hymenoptera,15
VIGLA,low,high,6,VIGLA-6,orthoptera,1
VIGLA,low,high,6,VIGLA-6,embioptera,11
VIGLA,low,high,6,VIGLA-6,lepidoptera_larvae,1
VIGLA,low,high,6,VIGLA-6,araneae,1
VIGLA,low,high,7,VIGLA-7,coleoptera,8
VIGLA,low,high,7,VIGLA-7,diptera,4
VIGLA,low,high,7,VIGLA-7,hemiptera,1
VIGLA,low,high,7,VIGLA-7,hymenoptera,24
VIGLA,low,high,7,VIGLA-7,embioptera,7
VIGLA,low,high,7,VIGLA-7,coleoptera_larvae,2
VIGLA,low,high,7,VIGLA-7,acari,1
VIGLA,low,high,7,VIGLA-7,pseudoscorpiones,1
VIGLA,low,high,8,VIGLA-8,coleoptera,7
VIGLA,low,high,8,VIGLA-8,diptera,10
VIGLA,low,high,8,VIGLA-8,hymenoptera,28
VIGLA,low,high,8,VIGLA-8,embioptera,1
VIGLA,low,high,8,VIGLA-8,lizard,1
VIGLA,low,high,9,VIGLA-9,coleoptera,5
VIGLA,low,high,9,VIGLA-9,diptera,20
VIGLA,low,high,9,VIGLA-9,hemiptera,2
VIGLA,low,high,9,VIGLA-9,hymenoptera,5
VIGLA,low,high,9,VIGLA-9,embioptera,7
VIGLA,low,high,9,VIGLA-9,araneae,2
VIGLA,low,high,10,VIGLA-10,coleoptera,2
VIGLA,low,high,10,VIGLA-10,diptera,23
VIGLA,low,high,10,VIGLA-10,hemiptera,3
VIGLA,low,high,10,VIGLA-10,hymenoptera,188
VIGLA,low,high,10,VIGLA-10,embioptera,4
VIGLA,low,high,11,VIGLA-11,coleoptera,3
VIGLA,low,high,11,VIGLA-11,diptera,10
VIGLA,low,high,11,VIGLA-11,hemiptera,2
VIGLA,low,high,11,VIGLA-11,hymenoptera,14
VIGLA,low,high,11,VIGLA-11,embioptera,2
VIGLA,low,high,11,VIGLA-11,araneae,2
VIGLA,low,high,12,VIGLA-12,coleoptera,1
VIGLA,low,high,12,VIGLA-12,diptera,16
VIGLA,low,high,12,VIGLA-12,hymenoptera,13
VIGLA,low,high,12,VIGLA-12,embioptera,4
VIGLA,low,high,12,VIGLA-12,araneae,3
WMONI,high,low,1,WMONI-1,coleoptera,12
